Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
25750,152812,108949,3701,41345,55986,18373,25834,66326497,66510,42722,7003,57616844,50875,60255208,31439,50754729,43801,77888278,10739,46252742,13384927
26000,173997,119665,4497,39738,83070,18827,25505,80997461,69539,45303,7026,61878730,59319,62945433,21758,50671682,42037,75983776,11127,53838699,12762075
26250,154233,108822,4286,53253,85889,19674,27697,69102463,68845,45567,6950,61466585,53256,61860665,22582,51527702,57935,86466431,10391,54913460,12151141
26500,150138,111056,3851,43531,57547,19908,26546,73839649,69528,46430,6945,56769634,52154,61320939,24457,53524568,51689,76964753,9949,46928975,12297207
26750,170676,110768,3600,43264,56653,18539,26193,70134740,81082,45495,7333,67437471,55227,61400861,22850,53780926,46262,82896785,9611,47606152,12452865
27000,150137,149965,3777,42859,54338,19414,26497,70370101,71560,44446,7278,61559679,51765,64451228,22629,56300399,43982,139334822,10811,49796126,12905770
27250,151083,111802,3821,77269,56153,24204,26264,68768110,73696,45769,6989,58964145,51013,88333720,23821,58354753,43958,82346830,11764,48788349,13101332
27500,168347,112994,3816,40600,50585,25811,30403,70700426,73027,48897,6943,61306179,51056,63643236,24538,56309914,92588,83416557,9415,50951369,13261876
27750,150565,116528,3902,41870,52935,19448,27628,85560055,74067,51890,6979,65923930,59715,69695429,22777,56374550,42214,82412998,10537,51941316,13246097
28000,147523,128112,3858,40322,54264,22443,26540,74165086,79976,45902,7065,63918450,54721,65306295,24384,58750606,45621,86046564,10909,50907362,13564756
28250,174100,116612,3745,41011,63781,20007,26613,79970376,79251,48604,7261,64706977,52194,65074192,22567,59168893,57366,90089993,10723,50514441,13581787
28500,149901,115516,3778,43996,54680,22565,29034,73062834,72659,46382,7263,63949892,50903,67921525,23101,57164953,47495,84151459,13037,52873331,13466386
28750,146453,137099,3802,42198,273946,15256,30111,76031460,74371,48824,7255,66280953,51002,69523077,24369,57297155,45772,84323947,11130,52043140,13706870
29000,165798,173077,3885,41702,55130,17453,29398,78464131,71682,44878,6910,78066469,1484620,67589607,35205,63317054,48419,85838594,9625,57972747,13841552
29250,147944,119447,3729,43014,1755081,18123,39832,86797925,74692,53720,7017,78462702,65744,68091751,21929,60563935,43072,95752162,12307,52788713,14087235
29500,146108,122492,3764,43286,60094,18509,27401,86005389,82066,52889,7019,69192261,59718,69183949,22594,59599034,40863,93871490,11233,54431904,14078402
29750,167803,137198,3838,44004,56802,19999,32822,80490976,78740,56677,7293,72325023,72798,75135017,22967,63944144,42099,89006032,9587,55649502,14632410
30000,148834,121690,4247,42687,64642,20823,1516347,95337296,76920,42955,7079,76909732,98128,75130452,23922,65500390,2274695,89538727,10562,53977362,14317943
30250,145832,119752,3921,44210,70945,15476,27070,89738646,76042,44857,6890,76119637,83155,72965880,23481,61627163,50541,108303012,10466,54597007,15053741
30500,165293,138724,3849,42621,59670,15032,27023,82935834,74615,46756,7267,87272310,111410,74127881,23597,66333743,51731,119441223,10133,55463904,15229501
30750,148310,125510,3890,62700,55693,17066,23385,93870094,79027,48513,7345,73898418,112428,75560879,22234,63608224,50505,142731064,10744,57712919,14501963
31000,144700,129355,4254,48431,52100,19507,25440,84171781,88566,46665,6943,79440568,75357,75828271,22863,64107243,52784,98487731,10501,58020097,14567031
31250,159392,131391,3800,48860,52879,26818,27413,89150105,77593,46699,7526,81966575,65337,79558526,23568,65229577,49182,93723762,11759,59536228,15965766
31500,145200,138368,3858,48450,49246,19188,24556,93205504,76798,47824,7279,82698985,58890,75225041,23154,64757179,57475,95154228,10161,61241531,15737192
31750,148124,128376,3805,55589,52963,20344,26880,102392437,76717,58442,7012,78832370,58762,78435445,23670,67645669,49694,101084284,11318,66567664,15052165
32000,164912,121485,3831,50667,64432,21692,27722,89200122,77293,47268,7007,95041779,57709,81132265,23563,66161675,46054,102988792,11143,97780580,16274169
32250,147861,139062,4335,50040,56494,17148,31704,88804415,86417,46854,6834,90754159,57469,75353248,24047,71271203,48210,96872009,10167,94577707,15394230
32500,147078,123108,4674,54488,52781,17311,22324,92477149,78771,46589,7179,94570837,68453,76817652,22808,67452430,46829,111312508,9853,77110707,16139366
32750,163994,125494,4626,64539,52320,19860,24031,94053736,78642,48828,7077,94637789,59322,79197641,23425,69041967,45146,101104619,11011,71178852,15786554
33000,153846,135270,4666,51979,49913,20382,24100,94008880,77825,46689,6978,92541821,59805,82969445,23183,78013077,1309919,110418030,10799,71990741,16816338
33250,164331,129834,4227,47019,49396,19732,25256,112896509,76303,45811,6866,90037581,56614,88774382,20696,69591690,53974,100497279,11486,68928833,16465913
33500,160461,125896,4287,43186,50251,20115,25122,105481954,124403,47383,6868,85612824,55459,83806412,24170,70899628,58224,128953615,11042,81813783,16823719
33750,151820,126354,4137,42975,49433,18838,26623,98026407,80257,54870,6981,92126090,57206,84840092,23523,70768726,52682,224693624,9942,76668801,16470037
